ID,Name,Owner Address,Time of Birth,XP,DNA,Attributes,Price
1,Eve,0x9e0cad443a4c3cf4ddce1a16d67cba5eef14bc8f,1521154199,0,4a2899f96d0202f1d682a81d4b868499e963b4052cf44d0eed7ded9ee1782190,f2cfccdde23c372c60a76a2795f77ca9cbd241e6dab46d90a0caad74dc9af739,10000000
2,Ms. E,0x9e0cad443a4c3cf4ddce1a16d67cba5eef14bc8f,1521155817,0,4fa50ea69b02fe02d158f2cd0a962f6021bf0c8bcdd48738db99e1a71df4c1e7,6237485384a86d5a29bed2ba244d8842002d8493c9287881a318b85145e26c1e,1000000
3,Shadow,0x9e0cad443a4c3cf4ddce1a16d67cba5eef14bc8f,1521312656,0,7e3d82a52b210f0ac5a1a0b8b3f29e474ae168d4ea75600fe99295d165fade96,aaf537f21356c2ccb7b508576c56c9ceca7001de6acb8221b43c006cdbce51b6,1000000
4,Morgoth,0x9e0cad443a4c3cf4ddce1a16d67cba5eef14bc8f,1521312656,0,dbe531c7acc6d752e3cfba881c5b5d29e23128bc59cae1c007fb31b2fdda1896,8508e009742b8150a8743a02bbc78e4f7f40385d29e8e8fb898bba84b9daab73,1000000
5,Arbez,0x9e0cad443a4c3cf4ddce1a16d67cba5eef14bc8f,1521312656,0,96109faf3eb18d1d631dcff62bdea75da54c4f5abf9030a1f70c17179a1efd94,748f67d1306c361f423d4a04240454baa90355face19ea1970375493ac2986e9,1000000
6,Retxedniop,0x9e0cad443a4c3cf4ddce1a16d67cba5eef14bc8f,1521312656,0,c347680a51cc42a8ac353f7981b69f64f5ebe4ff1b35703927d6e3f55dba6319,1c116184ca1db6eccb4c4ddf89de85006b57cef153ae02961813fab9e8ca80bd,1000000
7,Kwame,0x9e0cad443a4c3cf4ddce1a16d67cba5eef14bc8f,1521312700,0,86e65df615ba2dce9bb551bb360f747ac868e23e5260a4854c3775eef20a60f7,2aabd9bb0186fa6f2f48f16046e45c7bdc30f764b57d1057ccfc310fcaee28fa,1000000
8,Torynndar,0x9e0cad443a4c3cf4ddce1a16d67cba5eef14bc8f,1521312700,0,0ee27c13efea3af29a68ad3c9d3b170410e4a2247564308ed7a3e13f7d219fc3,2d4f0d651cce69373ef6a28bf4fd7b0dacf39562407c9a05fa145fc7e3227ad6,1000000
9, ,0x9e0cad443a4c3cf4ddce1a16d67cba5eef14bc8f,1521312773,0,47327c3f9065ee2b919ce24153cf86f25eb6cdd6e151c2ec0141a825bed78988,e0b6e57f787cb388cac09b54c24c600b55e065f54c70a672b243a4cd03a4cb8f,1000000
10, ,0x9e0cad443a4c3cf4ddce1a16d67cba5eef14bc8f,1521312794,0,b97873144249e29e76267d403a42921ebe979bc72a9d04c8f86ef65ff4bad3d8,71f174386977be1412d0f0503eee76965d38f70be135b0d1f5264756b2070f10,1000000
